Cluster,bin_frac_corr,er_bin_frac,bin_frac_05_corr,er_bin_frac_05,rh,e_rh,t_relax,e_t_relax,tau,e_tau,benchmark
Dolidze_5,0.38,0.1,0.35,0.09,2.74,0.32,24.36,4.86,0.91,0.57,False
ESO_130_06,0.45,0.06,0.41,0.05,1.2,0.13,6.39,1.24,27.02,12.42,False
ESO_130_08,0.47,0.21,0.44,0.21,1.97,0.16,15.33,2.46,9.85,3.57,False
ESO_130_13,0.43,0.2,0.4,0.18,2.58,0.4,24.15,6.11,2.18,0.89,False
ESO_166_04,0.5,0.29,0.45,0.28,0.97,0.2,3.88,1.27,48.5,20.39,False
ESO_332_13,0.25,0.09,0.21,0.09,1.53,0.11,9.0,1.32,0.69,0.14,False
ESO_368_11,0.48,0.04,0.44,0.04,1.95,0.16,13.42,2.1,35.92,23.5,False
FSR_0198,0.36,0.12,0.32,0.1,3.07,0.57,22.93,6.79,0.32,0.11,False
FSR_0224,0.41,0.26,0.37,0.25,0.56,0.13,1.13,0.42,4.68,1.81,False
FSR_0236,0.3,0.13,0.25,0.12,1.46,0.17,5.95,1.19,1.35,0.37,False
FSR_0241,0.44,0.17,0.4,0.14,4.33,0.47,45.92,8.73,26.18,5.15,False
FSR_0278,0.43,0.17,0.4,0.14,2.49,0.28,13.94,2.72,181.44,38.16,False
FSR_0342,0.38,0.08,0.35,0.07,4.17,0.26,53.06,7.23,18.04,3.56,False
FSR_0357,0.47,0.06,0.42,0.23,1.53,0.23,7.02,1.75,3.83,2.53,False
FSR_0384,0.5,0.06,0.46,0.06,0.93,0.13,3.18,0.76,104.15,37.25,False
FSR_0385,0.42,0.14,0.37,0.16,1.4,0.2,7.41,1.75,83.01,22.59,False
FSR_0398,0.36,0.18,0.31,0.16,1.02,0.15,5.65,1.33,3.1,0.94,False
FSR_0430,0.51,0.21,0.45,0.19,1.84,0.2,9.75,1.89,17.95,9.54,False
FSR_0441,0.46,0.21,0.4,0.18,1.89,0.21,9.26,1.78,6.49,5.63,False
FSR_0448,0.49,0.21,0.44,0.19,2.44,0.51,13.67,4.47,54.1,37.89,False
FSR_0496,0.38,0.1,0.34,0.1,1.98,0.09,15.1,1.86,48.87,11.01,False
FSR_0498,0.35,0.13,0.33,0.13,5.1,0.8,59.22,15.04,0.62,0.25,False
FSR_0537,0.46,0.06,0.41,0.06,2.03,0.29,12.14,2.9,3.77,1.03,False
FSR_0551,0.39,0.21,0.32,0.18,1.22,0.31,7.59,2.97,1.43,0.56,False
FSR_0553,0.38,0.22,0.32,0.18,1.5,0.27,7.98,2.26,96.17,71.61,False
FSR_0591,0.41,0.2,0.36,0.16,2.22,0.24,12.45,2.36,1.39,0.4,False
FSR_0667,0.53,0.08,0.47,0.08,0.8,0.24,2.74,1.26,150.46,75.46,False
FSR_0716,0.68,0.04,0.61,0.3,3.03,0.28,31.67,5.34,38.57,7.25,False
FSR_0728,0.4,0.16,0.37,0.16,1.55,0.17,8.53,1.64,13.42,6.39,False
FSR_0735,0.62,0.05,0.58,0.05,2.52,0.34,17.49,3.99,26.74,28.37,False
FSR_0761,0.53,0.07,0.47,0.07,1.4,0.19,6.15,1.38,90.67,38.2,False
FSR_0771,0.44,0.21,0.41,0.2,3.45,0.48,28.86,6.65,10.91,2.58,False
FSR_0811,0.51,0.06,0.47,0.06,2.1,0.42,12.36,3.93,62.79,22.26,False
FSR_0850,0.47,0.15,0.44,0.12,3.15,0.38,39.86,8.24,9.45,5.11,False
