Cluster,bin_frac_corr,er_bin_frac,bin_frac_05_corr,er_bin_frac_05,rh,e_rh,t_relax,e_t_relax,tau,e_tau,benchmark
NGC_2183,0.42,0.14,0.38,0.12,3.4,0.41,45.88,9.4,0.16,0.05,False
NGC_2184,0.51,0.05,0.47,0.05,2.29,0.32,21.66,5.06,43.08,11.08,False
NGC_2192,0.52,0.03,0.48,0.03,2.63,0.16,24.96,3.33,56.46,8.94,False
NGC_2215,0.4,0.15,0.35,0.14,2.57,0.43,23.47,6.28,27.96,8.17,False
NGC_2225,0.65,0.33,0.59,0.23,1.66,0.23,8.59,1.99,144.86,36.59,False
NGC_2232,0.4,0.03,0.38,0.02,2.7,0.34,42.6,9.17,0.66,0.15,True
NGC_2236,0.39,0.08,0.35,0.06,3.32,0.2,53.62,7.23,16.78,2.44,False
NGC_225,0.29,0.18,0.25,0.15,1.64,0.29,8.58,2.42,20.16,8.71,False
NGC_2259,0.49,0.04,0.46,0.04,1.36,0.13,9.6,1.7,32.87,8.51,False
NGC_2262,0.39,0.07,0.36,0.07,2.37,0.19,27.51,4.31,34.96,7.36,False
NGC_2264,0.38,0.03,0.35,0.03,0.9,0.12,6.27,1.44,0.88,0.26,True
NGC_2266,0.64,0.03,0.58,0.03,2.5,0.18,30.54,4.5,34.36,5.38,False
NGC_2269,0.42,0.05,0.37,0.05,0.97,0.18,3.59,1.07,69.47,36.56,False
NGC_2281,0.3,0.05,0.27,0.05,3.02,0.18,57.73,7.7,9.43,1.57,True
NGC_2286,0.41,0.03,0.39,0.03,2.87,0.22,30.92,4.68,18.27,4.55,False
NGC_2287,0.3,0.09,0.28,0.02,3.69,0.18,77.59,9.63,2.55,0.5,True
NGC_2301,0.3,0.02,0.28,0.02,2.47,0.12,41.69,5.17,4.85,0.84,True
NGC_2302,0.34,0.05,0.3,0.05,1.32,0.14,7.69,1.47,16.0,4.05,False
NGC_2311,0.37,0.19,0.34,0.18,1.71,0.32,11.1,3.29,5.66,3.02,False
NGC_2318,0.43,0.12,0.39,0.1,3.81,0.3,41.64,6.38,12.29,3.1,False
NGC_2343,0.43,0.22,0.39,0.22,1.08,0.14,6.26,1.34,24.76,10.06,False
NGC_2354,0.42,0.11,0.38,0.09,3.03,0.24,31.72,4.94,50.43,8.19,True
NGC_2355,0.41,0.12,0.37,0.12,2.4,0.19,30.32,4.72,40.95,6.9,False
NGC_2360,0.36,0.02,0.32,0.02,2.74,0.15,48.29,6.3,26.43,3.87,True
NGC_2374,0.38,0.05,0.34,0.05,3.3,0.37,29.54,5.82,12.72,2.86,False
NGC_2383,0.4,0.03,0.37,0.03,1.67,0.13,16.26,2.47,17.38,3.76,False
NGC_2384,0.47,0.2,0.42,0.2,1.33,0.27,5.66,1.8,4.16,1.74,False
NGC_2396,0.39,0.02,0.37,0.02,4.69,0.45,66.97,11.8,2.38,0.52,False
NGC_2401,0.67,0.05,0.6,0.05,1.15,0.16,5.6,1.26,11.59,7.84,False
NGC_2414,0.59,0.03,0.53,0.03,3.25,0.34,27.44,5.07,0.52,0.12,False
NGC_2421,0.29,0.05,0.26,0.05,4.08,0.26,69.53,9.68,0.98,0.41,False
NGC_2423,0.34,0.08,0.31,0.09,4.25,0.21,74.58,9.2,14.98,1.98,True
NGC_2428,0.39,0.16,0.35,0.18,3.38,0.25,40.74,6.09,18.96,3.01,True
NGC_2432,0.4,0.03,0.36,0.03,1.99,0.14,16.86,2.47,55.11,9.75,False
NGC_2439,0.28,0.05,0.25,0.04,3.94,0.25,60.66,8.34,0.39,0.08,False
NGC_2448,0.46,0.19,0.42,0.04,4.87,0.46,75.24,13.01,1.74,0.8,True
NGC_2451A,0.44,0.02,0.41,0.02,3.37,0.23,66.71,9.54,0.78,0.13,True
NGC_2451B,0.32,0.02,0.29,0.02,3.41,0.36,66.96,12.48,0.64,0.12,True
NGC_2453,0.39,0.12,0.37,0.1,2.03,0.29,17.21,4.1,1.66,0.92,False
NGC_2479,0.45,0.24,0.42,0.04,1.92,0.23,14.43,2.94,87.46,18.54,False
NGC_2482,0.48,0.04,0.44,0.04,2.91,0.32,28.98,5.64,23.17,5.18,True
NGC_2489,0.36,0.08,0.33,0.07,2.07,0.12,22.24,2.91,16.51,4.21,False
NGC_2509,0.36,0.08,0.33,0.06,2.96,0.2,30.73,4.4,45.54,6.52,False
NGC_2533,0.44,0.14,0.4,0.12,3.16,0.22,29.09,4.25,34.45,6.12,False
NGC_2539,0.35,0.02,0.31,0.02,3.86,0.2,76.69,9.69,10.12,1.35,True
NGC_2546,0.33,0.03,0.29,0.03,3.66,0.27,51.03,7.6,3.44,0.56,False
NGC_2547,0.31,0.02,0.29,0.02,1.7,0.14,22.02,3.43,1.61,0.43,True
NGC_2548,0.33,0.02,0.3,0.02,4.56,0.21,97.4,11.92,5.31,0.76,True
NGC_2571,0.34,0.04,0.31,0.03,2.17,0.23,22.44,4.23,1.17,0.5,True
NGC_2587,0.41,0.03,0.37,0.03,7.36,0.75,145.93,26.62,4.64,0.93,False
NGC_2645,0.55,0.22,0.52,0.24,1.54,0.21,10.22,2.28,2.04,0.61,False
NGC_2659,0.5,0.18,0.48,0.18,1.37,0.16,7.49,1.48,4.66,2.14,False
NGC_2669,0.44,0.03,0.41,0.03,1.89,0.16,17.56,2.85,7.41,1.73,False
NGC_2670,0.27,0.07,0.23,0.08,2.39,0.2,25.59,4.07,4.9,0.99,False
NGC_2671,0.35,0.08,0.32,0.07,1.7,0.15,14.67,2.42,28.22,20.93,False
NGC_2682,0.38,0.07,0.34,0.05,2.68,0.1,50.44,5.77,75.02,9.32,True
NGC_2818,0.4,0.1,0.36,0.09,4.5,0.35,67.48,10.32,18.61,3.14,False
NGC_2866,0.55,0.05,0.52,0.05,0.74,0.1,3.75,0.83,29.61,11.12,False
NGC_2910,0.45,0.04,0.41,0.03,1.18,0.11,7.55,1.31,13.77,4.25,False
NGC_2925,0.37,0.04,0.34,0.04,1.51,0.14,11.29,1.91,18.51,8.84,True
NGC_2972,0.33,0.17,0.31,0.17,1.17,0.09,6.01,0.94,71.15,16.96,False
NGC_3033,0.43,0.16,0.41,0.16,3.0,0.34,26.17,5.12,26.5,6.53,False
NGC_3228,0.47,0.04,0.43,0.04,3.03,0.44,39.43,9.45,1.33,0.51,True
NGC_3255,0.4,0.12,0.35,0.1,1.42,0.15,8.1,1.48,43.41,15.66,False
NGC_3293,0.34,0.06,0.3,0.06,1.91,0.13,18.66,2.68,0.75,0.13,False
NGC_3496,0.37,0.04,0.34,0.05,3.33,0.17,58.17,7.31,9.32,1.28,False
NGC_3590,0.4,0.13,0.36,0.1,1.11,0.14,5.86,1.27,2.41,0.56,False
NGC_3680,0.5,0.05,0.46,0.05,2.15,0.29,12.85,2.94,156.03,38.62,True
NGC_381,0.51,0.04,0.47,0.04,1.38,0.16,9.92,1.99,35.61,10.57,False
NGC_3960,0.37,0.07,0.33,0.06,2.28,0.13,25.27,3.3,37.35,6.02,False
NGC_433,0.42,0.21,0.4,0.16,1.53,0.11,11.04,1.64,6.5,1.42,False
NGC_4337,0.4,0.09,0.37,0.08,2.12,0.16,19.1,2.85,77.78,11.79,False
NGC_436,0.48,0.16,0.43,0.12,2.02,0.2,14.54,2.58,5.77,1.73,False
NGC_4439,0.42,0.06,0.38,0.05,1.55,0.34,8.35,2.84,6.33,2.3,False
NGC_4463,0.3,0.11,0.25,0.1,1.4,0.16,7.54,1.49,4.12,1.9,False
NGC_4609,0.33,0.06,0.3,0.06,3.02,0.24,44.8,6.93,1.69,0.38,False
NGC_4852,0.38,0.09,0.35,0.1,2.52,0.21,25.61,4.15,4.44,0.95,False
NGC_5138,0.31,0.17,0.26,0.12,2.12,0.29,14.25,3.24,7.4,3.2,False
NGC_5168,0.43,0.14,0.4,0.13,1.73,0.13,16.08,2.42,43.84,8.37,False
NGC_5269,0.27,0.09,0.24,0.09,1.55,0.11,10.39,1.54,16.19,7.83,False
NGC_5281,0.37,0.04,0.34,0.04,1.17,0.17,6.4,1.52,9.91,3.13,False
NGC_5288,0.38,0.12,0.34,0.12,1.35,0.13,8.21,1.41,47.15,38.54,False
NGC_5316,0.44,0.04,0.4,0.04,3.26,0.37,33.01,6.44,4.16,1.96,False
NGC_5460,0.43,0.04,0.39,0.04,2.63,0.24,29.09,4.86,6.1,2.47,True
NGC_559,0.31,0.05,0.28,0.05,2.7,0.13,42.31,5.23,13.51,2.03,False
NGC_5593,0.44,0.2,0.39,0.18,2.08,0.2,16.56,2.9,11.96,2.96,False
NGC_5662,0.37,0.11,0.34,0.12,3.47,0.23,50.09,7.09,2.37,1.02,False
NGC_5715,0.3,0.06,0.27,0.09,2.2,0.23,21.34,3.91,22.22,6.7,False
NGC_5749,0.4,0.05,0.36,0.2,2.09,0.3,16.25,3.86,8.15,2.23,False
NGC_581,0.46,0.1,0.42,0.11,2.25,0.19,22.38,3.59,2.97,1.34,False
NGC_5999,0.38,0.07,0.35,0.08,1.65,0.09,15.33,1.99,10.65,5.19,False
NGC_6025,0.38,0.03,0.35,0.02,2.98,0.17,45.13,5.97,3.3,0.74,False
NGC_6031,0.3,0.1,0.25,0.1,1.17,0.13,6.81,1.35,7.44,3.76,False
NGC_6087,0.41,0.08,0.39,0.09,3.41,0.24,52.92,7.63,2.94,0.7,False
NGC_6134,0.31,0.05,0.28,0.04,2.51,0.11,41.86,5.03,29.8,3.94,False
NGC_6152,0.32,0.05,0.29,0.06,4.5,0.29,84.16,11.64,2.42,0.64,False
NGC_6178,0.45,0.06,0.4,0.06,0.74,0.2,3.12,1.31,4.25,1.9,False
NGC_6192,0.36,0.05,0.33,0.05,2.02,0.1,25.51,3.22,1.86,1.03,False
NGC_6204,0.43,0.15,0.4,0.16,1.16,0.1,8.99,1.44,11.47,2.66,False
NGC_6208,0.45,0.1,0.41,0.11,2.82,0.15,30.42,3.9,61.08,8.47,False
NGC_6242,0.36,0.18,0.33,0.02,2.11,0.13,29.75,3.98,2.29,0.55,False
NGC_6249,0.49,0.06,0.46,0.06,0.86,0.13,3.46,0.86,6.41,1.7,False
NGC_6253,0.41,0.08,0.38,0.06,1.65,0.07,13.61,1.65,246.08,30.81,False
NGC_6268,0.4,0.03,0.37,0.03,1.74,0.12,14.01,2.05,15.73,2.98,False
NGC_637,0.51,0.05,0.48,0.05,0.99,0.22,4.3,1.51,4.28,1.6,False
NGC_6425,0.47,0.03,0.44,0.03,1.94,0.21,17.42,3.36,29.57,5.94,False
NGC_6444,0.3,0.09,0.27,0.1,3.27,0.27,29.93,4.75,9.44,8.46,False
NGC_6475,0.38,0.02,0.34,0.02,2.09,0.09,32.15,3.88,14.45,1.74,True
NGC_6520,0.27,0.1,0.24,0.09,0.83,0.06,4.2,0.6,20.58,14.7,False
NGC_6568,0.3,0.08,0.27,0.08,2.78,0.19,32.05,4.63,24.27,3.78,False
NGC_659,0.38,0.13,0.34,0.12,2.46,0.21,19.56,3.14,1.21,0.31,False
NGC_6604,0.36,0.11,0.32,0.1,1.38,0.21,6.4,1.6,1.01,0.28,False
NGC_6633,0.46,0.11,0.44,0.09,2.44,0.13,30.95,3.99,25.73,10.89,False
NGC_6694,0.34,0.14,0.31,0.11,2.4,0.18,29.51,4.38,3.4,1.34,False
NGC_6709,0.39,0.17,0.36,0.03,2.62,0.19,34.83,5.12,4.52,0.84,False
NGC_6728,0.38,0.13,0.35,0.13,5.04,0.35,90.69,13.06,6.37,1.1,False
NGC_6793,0.3,0.1,0.25,0.07,2.19,0.19,24.32,3.99,13.52,5.71,False
NGC_6811,0.44,0.03,0.41,0.03,3.14,0.21,44.3,6.32,22.73,3.3,True
NGC_6830,0.28,0.08,0.24,0.07,2.69,0.17,27.7,3.85,1.9,0.97,False
NGC_6866,0.48,0.03,0.45,0.03,2.58,0.3,26.88,5.43,29.01,6.21,False
NGC_6910,0.32,0.07,0.29,0.06,4.09,0.44,56.06,10.66,0.17,0.04,False
NGC_6913,0.35,0.09,0.32,0.1,3.43,0.32,33.14,5.65,0.25,0.05,False
NGC_6939,0.36,0.04,0.33,0.04,3.02,0.13,48.74,5.8,31.27,3.92,False
NGC_6940,0.34,0.06,0.31,0.05,4.02,0.21,78.15,9.83,13.46,1.77,False
NGC_6991,0.48,0.17,0.46,0.16,4.11,0.5,64.57,13.48,22.23,4.69,True
NGC_6997,0.3,0.08,0.25,0.08,1.59,0.12,13.9,2.14,30.76,7.44,False
NGC_7039,0.31,0.04,0.29,0.16,2.01,0.35,20.19,5.6,0.66,0.19,False
NGC_7062,0.4,0.14,0.36,0.11,1.85,0.23,13.65,2.86,32.72,14.26,False
NGC_7063,0.47,0.06,0.43,0.06,1.12,0.16,6.54,1.56,23.51,10.73,True
NGC_7067,0.5,0.06,0.45,0.25,2.18,0.42,10.11,3.12,1.2,0.39,False
NGC_7082,0.41,0.02,0.38,0.02,3.73,0.23,59.97,8.12,2.8,0.74,False
NGC_7086,0.29,0.04,0.26,0.04,2.65,0.13,40.82,5.05,1.35,0.73,False
NGC_7092,0.27,0.1,0.24,0.09,4.3,0.53,77.41,16.14,4.74,1.84,True
NGC_7128,0.35,0.09,0.31,0.09,1.15,0.11,5.32,0.96,2.91,0.8,False
NGC_7142,0.41,0.07,0.39,0.07,3.11,0.17,29.42,3.82,107.98,16.01,False
NGC_7160,0.35,0.16,0.3,0.15,0.87,0.12,3.66,0.83,4.97,1.92,False
NGC_7209,0.39,0.09,0.36,0.11,5.29,0.44,85.11,13.57,4.95,1.34,False
NGC_7226,0.46,0.23,0.43,0.21,1.34,0.16,5.79,1.17,67.4,50.16,False
NGC_7235,0.36,0.03,0.33,0.03,3.15,0.27,24.4,3.96,0.58,0.12,False
NGC_7243,0.37,0.03,0.35,0.02,3.28,0.22,48.17,6.77,2.8,0.67,False
NGC_7245,0.36,0.05,0.32,0.06,3.14,0.18,48.39,6.43,12.92,2.14,False
NGC_7296,0.54,0.04,0.49,0.04,2.48,0.41,21.31,5.74,11.79,5.74,False
NGC_7423,0.58,0.16,0.54,0.13,2.08,0.17,18.6,2.91,71.53,13.17,False
NGC_743,0.39,0.19,0.34,0.16,2.32,0.28,17.75,3.66,3.75,2.73,False
NGC_744,0.4,0.16,0.37,0.14,1.42,0.17,8.77,1.78,25.12,9.32,False
NGC_7510,0.38,0.06,0.35,0.06,2.06,0.27,15.89,3.47,0.66,0.15,False
NGC_7762,0.38,0.08,0.35,0.06,2.2,0.11,25.25,3.12,63.64,8.6,False
NGC_7790,0.3,0.08,0.27,0.08,3.22,0.44,33.42,7.6,0.86,0.61,False
NGC_886,0.36,0.09,0.32,0.09,4.29,0.4,54.27,9.26,5.96,1.82,False
NGC_957,0.34,0.07,0.3,0.07,5.34,0.56,82.94,15.42,0.29,0.07,False
Patchick_3,0.49,0.2,0.46,0.18,1.97,0.23,12.78,2.57,108.25,23.62,False
Pismis_11,0.5,0.18,0.48,0.2,0.58,0.1,1.32,0.38,5.15,1.91,False
Pismis_12,0.5,0.15,0.48,0.12,1.99,0.13,17.08,2.43,69.09,11.81,False
Pismis_15,0.44,0.16,0.4,0.14,1.6,0.17,11.5,2.12,107.18,23.15,False
Pismis_27,0.43,0.18,0.37,0.18,0.96,0.36,3.89,2.21,2.28,1.3,False
Pismis_4,0.42,0.04,0.38,0.04,3.48,0.45,39.41,8.66,5.13,1.32,True
Pismis_5,0.39,0.1,0.36,0.12,1.69,0.4,16.83,6.17,0.6,0.25,False
Pismis_8,0.35,0.16,0.31,0.15,0.7,0.15,2.45,0.81,5.71,2.56,False
Pismis_Moreno_1,0.47,0.24,0.43,0.23,0.94,0.19,3.64,1.17,3.06,1.33,False
Platais_8,0.28,0.14,0.24,0.12,3.83,0.46,67.39,13.86,0.76,0.18,True
Platais_9,0.44,0.03,0.4,0.03,4.21,0.76,73.35,21.16,0.93,0.31,True
Pozzo_1,0.3,0.02,0.27,0.01,3.9,0.42,90.45,17.25,0.14,0.04,True
RSG_1,0.46,0.04,0.41,0.21,2.79,0.37,35.85,7.93,6.74,2.21,False
RSG_5,0.44,0.03,0.4,0.03,4.84,0.32,114.06,16.04,0.5,0.08,True
Roslund_3,0.32,0.1,0.27,0.09,2.38,0.28,20.44,4.1,5.12,1.36,False
Roslund_5,0.37,0.11,0.34,0.08,3.78,0.41,61.6,11.67,3.49,1.29,True
Roslund_6,0.4,0.1,0.37,0.09,6.17,0.33,157.56,20.16,2.07,0.55,True
Roslund_7,0.34,0.08,0.31,0.08,11.3,1.14,286.18,51.75,0.38,0.16,False
Ruprecht_1,0.52,0.04,0.46,0.04,3.49,0.46,40.75,8.94,11.88,3.35,False
Ruprecht_105,0.32,0.1,0.27,0.09,5.45,0.73,61.22,13.74,2.47,1.63,False
Ruprecht_107,0.3,0.1,0.25,0.1,2.14,0.23,16.49,3.09,7.46,4.08,False
Ruprecht_108,0.5,0.08,0.44,0.08,1.28,0.2,7.24,1.82,24.12,12.32,False
Ruprecht_111,0.45,0.11,0.42,0.1,1.9,0.12,15.73,2.14,72.64,12.21,False
Ruprecht_119,0.31,0.07,0.28,0.07,4.16,0.36,58.38,9.6,1.7,0.69,False
Ruprecht_120,0.26,0.17,0.23,0.16,1.35,0.12,5.32,0.9,4.62,4.17,False
Ruprecht_127,0.33,0.1,0.29,0.1,2.01,0.25,11.17,2.39,1.19,0.31,False
Ruprecht_128,0.34,0.06,0.31,0.07,1.85,0.14,17.48,2.6,29.75,29.25,False
Ruprecht_145,0.49,0.03,0.46,0.03,2.99,0.21,38.02,5.58,25.41,3.91,False
Ruprecht_148,0.46,0.26,0.41,0.2,2.17,0.24,12.62,2.45,2.18,1.4,False
Ruprecht_16,0.37,0.05,0.33,0.05,4.52,0.62,42.24,9.7,5.55,1.87,False
Ruprecht_171,0.41,0.06,0.38,0.06,2.83,0.11,40.86,4.69,74.25,9.0,False
Ruprecht_18,0.34,0.09,0.31,0.08,3.39,0.16,40.28,4.93,3.59,1.69,False
Ruprecht_19,0.38,0.06,0.35,0.05,4.74,0.62,53.35,11.69,1.6,0.58,True
Ruprecht_25,0.7,0.08,0.63,0.08,2.19,0.47,8.59,2.9,99.82,36.95,False
Ruprecht_28,0.44,0.13,0.41,0.12,3.14,0.23,32.5,4.87,79.64,21.72,False
Ruprecht_34,0.52,0.04,0.48,0.04,4.35,0.66,58.03,14.44,3.77,1.47,False
Ruprecht_35,0.44,0.19,0.41,0.17,3.59,0.61,33.02,9.02,0.76,0.44,False
Ruprecht_4,0.52,0.17,0.49,0.17,2.98,0.21,22.54,3.28,31.41,5.49,False
Ruprecht_41,0.41,0.1,0.38,0.1,8.28,0.45,179.06,23.08,1.4,1.15,False
Ruprecht_42,0.65,0.05,0.58,0.04,3.5,0.45,28.24,6.14,10.02,4.73,False
Ruprecht_44,0.6,0.04,0.54,0.04,3.35,0.31,27.56,4.73,0.6,0.13,False
Ruprecht_48,0.39,0.13,0.36,0.14,1.66,0.19,12.2,2.45,7.65,4.75,False
Ruprecht_50,0.37,0.22,0.34,0.22,1.33,0.18,6.96,1.55,120.14,30.45,False
Ruprecht_54,0.44,0.03,0.42,0.03,4.97,0.51,75.5,13.77,1.88,1.6,False
Ruprecht_58,0.42,0.03,0.39,0.03,2.17,0.2,16.45,2.8,30.32,8.02,False
Ruprecht_60,0.45,0.16,0.43,0.13,3.42,0.38,41.14,8.04,19.94,4.57,False
Ruprecht_63,0.42,0.03,0.38,0.03,5.63,0.45,96.93,15.1,3.62,1.93,False
Ruprecht_66,0.41,0.06,0.38,0.08,5.01,0.48,88.78,15.57,12.1,2.62,False
Ruprecht_67,0.46,0.05,0.41,0.05,1.26,0.33,5.75,2.35,24.84,13.27,False
Ruprecht_68,0.4,0.12,0.36,0.1,3.18,0.17,44.91,5.79,39.05,5.8,False
Ruprecht_71,0.37,0.11,0.32,0.11,3.27,0.35,28.7,5.48,0.93,0.19,False
Ruprecht_76,0.45,0.26,0.39,0.24,1.33,0.29,5.02,1.7,17.75,15.18,False
Ruprecht_8,0.51,0.05,0.46,0.05,5.1,0.45,57.66,9.51,6.2,1.25,False
Ruprecht_82,0.47,0.16,0.43,0.17,2.22,0.17,18.76,2.89,23.27,6.62,False
Ruprecht_84,0.51,0.05,0.46,0.05,1.24,0.17,5.81,1.31,35.68,18.23,False
Ruprecht_91,0.47,0.03,0.43,0.03,3.3,0.29,41.59,6.91,2.71,0.85,True
Ruprecht_93,0.48,0.04,0.44,0.04,2.16,0.13,17.99,2.43,17.7,5.66,False
Ruprecht_98,0.5,0.05,0.46,0.05,3.51,0.69,33.8,10.54,15.21,5.47,False
SAI_24,0.35,0.06,0.32,0.06,3.12,0.32,31.35,5.79,0.39,0.1,False
SAI_25,0.51,0.14,0.46,0.15,4.84,0.4,36.97,5.91,0.3,0.07,False
SAI_4,0.41,0.16,0.36,0.15,2.07,0.35,12.96,3.57,2.65,1.24,False
SAI_47,0.71,0.09,0.63,0.09,1.97,0.59,7.39,3.38,5.37,5.5,False
SAI_81,0.51,0.2,0.46,0.16,4.24,0.36,39.57,6.39,5.88,5.37,False
SAI_86,0.43,0.04,0.4,0.04,2.53,0.34,18.67,4.22,34.89,9.69,False
SAI_91,0.51,0.05,0.47,0.05,3.16,0.41,25.14,5.44,13.67,9.44,False
SAI_94,0.51,0.05,0.47,0.24,3.55,0.56,31.36,8.08,32.33,10.55,False
Skiff_J0507+30.8,0.65,0.04,0.59,0.04,6.85,0.42,115.79,15.72,11.23,1.8,False
Skiff_J0614+12.9,0.54,0.06,0.5,0.06,1.45,0.26,7.21,2.08,47.68,36.71,False
Skiff_J0619+18.5,0.38,0.05,0.36,0.04,5.01,1.44,53.08,23.55,1.69,0.83,False
Stephenson_1,0.27,0.03,0.24,0.03,1.49,0.29,13.95,4.28,4.41,1.67,True
Stock_1,0.45,0.12,0.43,0.13,3.58,0.31,50.13,8.19,10.79,2.1,True
Stock_10,0.46,0.04,0.41,0.04,3.05,0.35,43.94,8.67,3.08,1.06,False
Stock_14,0.25,0.09,0.21,0.07,3.86,0.56,40.89,9.8,0.44,0.11,False
Stock_20,0.34,0.13,0.31,0.13,2.07,0.25,13.68,2.86,1.3,0.31,False
Stock_21,0.39,0.06,0.32,0.18,1.31,0.18,7.24,1.66,54.6,21.6,False
Stock_23,0.43,0.11,0.4,0.1,5.72,0.68,84.39,17.26,1.68,0.87,False
Stock_24,0.5,0.18,0.45,0.16,1.96,0.27,13.62,3.11,9.07,6.64,False
Stock_4,0.67,0.19,0.6,0.18,4.04,0.35,49.91,8.15,3.78,1.67,False
Stock_5,0.31,0.09,0.26,0.09,2.91,0.43,28.23,6.83,4.13,1.73,False
Stock_7,0.53,0.21,0.5,0.2,2.1,0.31,20.51,5.0,7.3,3.45,False
Teutsch_1,0.72,0.06,0.64,0.06,0.74,0.24,2.32,1.15,19.74,21.36,False
Teutsch_103,0.42,0.07,0.35,0.07,1.06,0.29,3.2,1.37,143.36,70.0,False
Teutsch_12,0.67,0.04,0.61,0.04,3.2,0.35,35.5,6.89,21.22,4.89,False
Teutsch_126,0.43,0.2,0.4,0.16,3.1,0.35,33.58,6.58,2.96,0.78,False
Teutsch_13,0.65,0.04,0.58,0.04,5.97,0.64,63.46,11.94,0.43,0.14,False
Teutsch_132,0.71,0.07,0.63,0.07,1.65,0.38,6.67,2.41,2.48,0.98,False
Teutsch_35,0.42,0.15,0.39,0.14,2.89,0.43,38.39,9.42,2.6,0.64,True
Teutsch_38,0.49,0.1,0.47,0.11,6.65,0.91,136.3,31.04,0.51,0.17,True
Teutsch_61,0.4,0.06,0.35,0.19,1.5,0.19,6.9,1.45,3.87,2.35,False
Tombaugh_1,0.45,0.03,0.42,0.19,2.39,0.17,25.85,3.76,51.11,8.03,False
Tombaugh_5,0.31,0.06,0.28,0.03,3.81,0.17,66.71,7.96,3.38,0.86,False
Trumpler_1,0.4,0.13,0.36,0.13,1.22,0.2,6.18,1.65,4.25,1.35,False
Trumpler_12,0.4,0.12,0.36,0.09,2.5,0.16,27.0,3.76,28.82,4.24,False
Trumpler_14,0.32,0.06,0.29,0.06,1.28,0.1,9.13,1.38,0.58,0.12,False
Trumpler_15,0.34,0.06,0.31,0.09,1.5,0.14,11.52,2.01,0.7,0.15,False
Trumpler_19,0.42,0.05,0.39,0.06,3.8,0.14,60.72,6.92,64.07,9.87,False
Trumpler_2,0.4,0.03,0.36,0.03,2.74,0.28,31.96,5.88,3.33,1.34,False
Trumpler_21,0.47,0.05,0.45,0.05,1.11,0.11,6.53,1.18,9.71,3.2,False
Trumpler_3,0.35,0.11,0.32,0.11,2.61,0.21,35.22,5.56,1.59,0.48,False
Trumpler_32,0.37,0.05,0.34,0.05,2.28,0.1,28.94,3.5,25.85,3.79,False
Trumpler_33,0.49,0.05,0.46,0.05,1.29,0.19,6.83,1.64,10.03,4.29,False
UBC_118,0.38,0.04,0.33,0.04,3.01,0.26,31.59,5.14,6.92,2.1,False
UBC_133,0.3,0.09,0.27,0.09,3.05,0.26,27.43,4.5,2.37,1.03,False
UBC_136,0.3,0.08,0.27,0.07,4.14,0.3,48.85,7.22,3.42,1.37,False
UBC_151,0.3,0.1,0.25,0.09,5.51,0.34,81.85,11.09,2.0,0.99,False
UBC_152,0.3,0.18,0.27,0.17,2.01,0.32,9.8,2.51,10.22,5.91,False
UBC_154,0.39,0.11,0.34,0.1,6.93,0.58,112.1,18.03,6.07,1.44,False
UBC_157,0.46,0.06,0.4,0.05,2.18,0.19,14.17,2.35,12.67,3.27,False
UBC_162,0.37,0.08,0.35,0.06,6.68,0.54,128.3,20.09,0.42,0.38,False
UBC_166,0.32,0.08,0.29,0.06,6.53,0.38,114.73,15.24,0.21,0.07,False
UBC_169,0.52,0.08,0.47,0.07,1.89,0.39,11.75,3.85,25.4,8.79,False
UBC_172,0.34,0.08,0.3,0.08,7.31,0.58,121.13,18.87,1.85,0.71,False
UBC_175,0.48,0.23,0.42,0.22,3.57,0.26,30.16,4.47,14.98,6.4,False
UBC_177,0.43,0.18,0.39,0.17,3.47,0.53,31.01,7.73,4.07,1.19,False
UBC_178,0.32,0.08,0.29,0.07,2.89,0.15,42.56,5.44,0.2,0.03,False
UBC_179,0.26,0.1,0.23,0.09,3.24,0.29,28.85,4.78,7.33,1.83,False
UBC_194,0.46,0.05,0.41,0.05,2.26,0.31,16.87,3.9,18.15,4.4,False
UBC_198,0.44,0.22,0.41,0.18,5.73,0.5,73.74,12.15,0.4,0.08,False
UBC_237,0.41,0.15,0.38,0.14,4.49,0.57,46.22,9.95,6.81,2.72,False
UBC_245,0.38,0.11,0.35,0.1,7.51,0.57,132.51,20.13,0.14,0.04,False
UBC_249,0.27,0.08,0.24,0.07,6.37,0.42,92.5,12.97,1.63,0.58,False
UBC_251,0.29,0.1,0.25,0.1,3.86,0.24,41.82,5.65,1.82,0.54,False
UBC_253,0.41,0.05,0.36,0.2,2.13,0.34,13.56,3.53,15.84,8.7,False
UBC_270,0.43,0.12,0.4,0.1,6.54,0.55,106.77,17.07,0.76,0.32,False
UBC_290,0.35,0.08,0.33,0.08,5.11,0.29,80.26,10.56,1.3,0.19,False
UBC_292,0.33,0.07,0.3,0.06,8.77,0.3,209.28,23.41,0.14,0.02,False
UBC_300,0.37,0.11,0.32,0.12,2.95,0.22,28.62,4.34,12.11,4.96,False
UBC_303,0.42,0.16,0.38,0.14,3.87,0.48,37.67,7.94,17.91,6.49,False
UBC_31,0.42,0.02,0.39,0.02,7.85,0.54,240.73,34.29,0.09,0.03,False
UBC_316,0.3,0.13,0.25,0.13,2.79,0.38,21.69,4.98,22.27,30.23,False
UBC_319,0.3,0.09,0.27,0.08,3.85,0.24,44.18,6.08,2.65,1.11,False
UBC_340,0.26,0.09,0.24,0.1,2.29,0.23,17.71,3.22,1.46,0.35,False
