Cluster,RA_ICRS,DE_ICRS,dist,e_dist,age,e_age,FeH,e_FeH,Av,e_Av,Nc,alpha_high_int,alpha_high_er_int,alpha_low_int,alpha_low_er_int,Mc_int,Mc_er_int,offset_int,offset_er_int,mass_total,e_mass_total,bin_frac,average_ratio,str_average_ratio,segr_ratio,segr_ratio_std,mass_seg,mass_seg_pval,bin_frac_05,n_members,rh,e_rh,t_relax,e_t_relax,tau,e_tau,bin_frac_corr,bin_frac_05_corr,n_systems,e_bin_frac,e_bin_frac_05
NGC_5460,211.8213,-48.3071,0.707,0.003,8.249,0.16,-0.052,0.033,0.475,0.073,209,-1.23584,0.27117,1.47674,0.22142,-0.16025,0.04107,1.56072,0.05794,379,75,0.492822966507177,0.5447,0.24035,1.3582,3.08845,0.27059,0.00113,0.2727272727272727,312.0,2.6339229175187064,0.2424241664443541,29.086659626862414,4.940475580575191,6.099667351460496,2.4745325589144294,0.5035198661108735,0.3573150735068257,209,0.03466480246947834,0.0575809079407236
NGC_559,22.3808,63.2964,2.353,0.041,8.757,0.037,-0.095,0.034,2.214,0.036,750,-1.7724,0.4149,1.95066,0.18986,0.03376,0.02561,2.19367,0.08734,1949,389,0.7106666666666667,0.70598,0.25392,1.47722,4.09456,0.15556,0.00317,0.516,1283.0,2.698588104399028,0.1325153097360648,42.3058495260525,5.247377895082699,13.508265241664574,2.032660209038065,0.487966163500701,0.3100134139101042,750,0.06512546620064882,0.07998723234272473
NGC_5593,216.4261,-54.8009,1.002,0.012,8.297,0.076,-0.011,0.053,0.916,0.065,114,-2.0602,0.40257,2.11529,0.31924,-0.0851,0.02976,1.41171,0.07053,245,49,0.5789473684210527,0.60257,0.22785,1.18535,1.95029,0.22876,0.08654,0.3859649122807017,180.0,2.082748336875985,0.2040369686955216,16.56322901421017,2.944049520164077,11.963410178686054,2.984084195030868,0.4968602654926213,0.2984329399345344,114,0.05136570123615447,0.0573550201714371
NGC_5662,218.755,-56.6328,0.749,0.004,8.074,0.176,-0.021,0.034,1.116,0.047,345,-1.30329,0.13488,2.2044,0.208,-0.12895,0.0202,1.74366,0.03207,658,131,0.4985507246376812,0.56865,0.24059,1.11748,3.31103,0.14791,0.04029,0.3159420289855073,517.0,3.470732876362028,0.2373932141663905,50.08931862740928,7.160380945412374,2.367308601235988,1.0173009624643317,0.5171834305910911,0.3458600796838674,345,0.027375407604314558,0.05328004993916284
NGC_5715,220.8744,-57.58,1.919,0.059,8.676,0.104,0.155,0.033,2.118,0.071,305,-1.0422,0.37989,1.72025,0.20831,0.02596,0.03932,1.86118,0.09058,927,185,0.6983606557377049,0.65775,0.27109,1.32001,2.734,0.29888,0.00017,0.4754098360655737,518.0,2.200580513896014,0.2329199296358539,21.339004699105672,4.001498913233107,22.22418486463525,6.759559322847142,0.537305812639092,0.3623313350964317,305,0.05398696482640629,0.061342341642263015
NGC_5749,222.1659,-54.5278,1.071,0.011,8.122,0.059,0.027,0.061,1.176,0.044,123,-1.8903,0.51262,1.35363,0.3376,-0.02916,0.05261,1.51118,0.11612,276,55,0.5365853658536586,0.53725,0.27429,1.38042,2.28212,0.26984,0.01762,0.3089430894308943,189.0,2.0872433970817394,0.2872919741314096,16.253267204777423,3.7260247162434736,8.148155804670413,2.1713028482532395,0.5274061472981271,0.3552673243281046,123,0.044962632272327385,0.05388978353015862
NGC_581,23.342,60.6613,2.329,0.045,7.822,0.184,-0.078,0.058,1.407,0.031,264,-1.48282,0.22773,1.72848,0.23014,0.00866,0.03048,1.84406,0.06918,715,143,0.7007575757575758,0.59937,0.25953,1.56226,2.36611,0.26986,0.00275,0.4431818181818182,449.0,2.2506765689651043,0.182843041730826,22.384120252580885,3.5285743341107154,2.965240817652324,1.340441726965765,0.5330833836505962,0.368802359748187,264,0.055828502870282584,0.0565231048448404
NGC_5999,238.0485,-56.4836,2.294,0.081,8.213,0.204,0.135,0.051,1.944,0.045,428,-1.67784,0.34094,1.54264,0.16133,0.16506,0.02778,2.22614,0.1171,1203,240,0.6004672897196262,0.58305,0.24764,1.53405,1.07816,0.2505,0.13618,0.3808411214953271,685.0,1.6538002955007398,0.0908145151940038,15.33497586765629,1.9837810279304904,10.649198029314652,5.188450812816207,0.47763648794891267,0.29300454967692874,428,0.04229719828164676,0.058106886299008495
NGC_6025,240.7343,-60.4253,0.753,0.003,8.173,0.078,-0.001,0.017,0.69,0.031,391,-1.52889,0.15729,2.10228,0.1697,-0.16404,0.01775,1.67065,0.03302,575,115,0.4168797953964194,0.52982,0.25414,1.32795,3.28086,0.25243,1e-05,0.2225063938618925,554.0,2.981686212441866,0.1778725876563386,45.13468351472154,6.056651839082962,3.2998150462828257,0.7398055416190551,0.5258330677672608,0.3682434513071004,391,0.03974194007526214,0.06689765412994751
NGC_6031,241.8985,-54.0109,1.705,0.03,7.705,0.202,0.137,0.063,1.632,0.054,178,-2.01421,0.43241,1.23152,0.24166,0.07663,0.04243,1.83899,0.12472,527,105,0.6067415730337079,0.56937,0.28476,1.13494,1.00919,0.27495,0.00323,0.3258426966292135,286.0,1.169218327369927,0.1338729338892325,6.810184683427077,1.3521462631312466,7.444595585028575,3.764933190273358,0.5108364683682135,0.27515145529691454,178,0.04590166471814743,0.05464162371549252
NGC_6087,244.7276,-57.9032,0.924,0.014,8.192,0.083,-0.118,0.077,0.704,0.027,350,-1.32362,0.20505,1.97585,0.21805,-0.15729,0.02691,1.70212,0.04749,668,133,0.6457142857142857,0.58592,0.23055,1.30433,3.68403,0.2126,0.00073,0.4428571428571428,576.0,3.4122892620805776,0.240280131158356,52.92055894479246,7.681113343572144,2.940191227436358,0.7055945692040057,0.5240342950455955,0.35850652336857597,350,0.04254161251451661,0.05754902104262656
