pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,er_q,r/rh
0.012,-0.0104,-0.4503,13,56.73055847875,0.1339,24.18779819152,0.0856,66728265476081408,7.2767,0.148,20.393,0.171,-44.021,0.116,1.048,17.19236,0.003162,19.43611,0.085528,15.85624,0.004645,3.579869,,,1.533,699.631,12.701,292.398,1.0,0.1915221901567911,0.0099171611923812,0.132663984064822,0.0201726151857973,0.692682054002284,0.1112673995685547,0.1130749670017051
0.2183,-0.1332,-0.2421,16,56.76502117318,0.0192,24.15948737687,0.0152,66727234683931520,7.3218,0.0219,19.333,0.027,-44.725,0.02,1.031,13.826407,0.003667,14.762202,0.012286,12.866948,0.006422,1.895254,,,1.325,448.585,90.744,187.702,1.0,0.5901927454763749,0.0005541297277214,0.0,0.0,0.0,,0.11828276661873553
0.3291,0.0258,-0.4517,14,56.57734998421,0.1687,23.98390177419,0.1423,65217222966811264,7.6385,0.2225,19.035,0.234,-43.879,0.187,1.015,18.187469,0.003819,19.809248,0.221331,16.821396,0.011214,2.987852,,,1.644,410.486,4.906,99.966,1.0,0.1626771699395572,0.0072935146267677,0.0,0.0151450206653551,0.0,,0.11914829498770624
0.223,-0.0396,-0.2841,15,56.64972601818,0.0184,23.96682512457,0.0123,65211145587780992,7.2769,0.022,19.293,0.022,-44.068,0.016,1.032,13.736212,0.00346,14.64295,0.009041,12.789618,0.005486,1.853332,,,1.321,518.831,126.257,229.877,1.0,0.5983659204979022,0.0005836419626392,0.0,0.0,0.0,,0.12062698576137064
0.019,0.1545,-0.1481,16,56.51910615107,0.092,24.16536856902,0.0622,65229184450247296,7.5444,0.1024,18.938,0.116,-44.621,0.076,1.034,17.291239,0.002981,19.200609,0.037916,15.989532,0.004436,3.211077,,,1.521,953.42,28.713,314.786,1.0,0.2159977514476204,0.0015635976525776,0.0,0.0,0.0,,0.12208008627173116
0.4542,-0.0041,-0.1832,12,56.788355137,0.0415,24.05197806631,0.0384,65212932294091264,7.3556,0.0429,19.443,0.053,-43.83,0.047,0.984,15.380993,0.002944,16.784214,0.011035,14.205992,0.004065,2.578222,,,1.441,1045.752,101.694,367.31,1.0,0.446609271420294,0.0004924477044807,0.0,0.0,0.0,,0.13011329467177465
0.0669,0.2847,-0.0956,16,56.49137215999,0.1192,24.1445440949,0.0867,65228772133391488,7.5992,0.1393,20.642,0.162,-47.498,0.109,1.024,17.916901,0.003143,19.907795,0.079992,16.578157,0.008348,3.329638,,,1.56,717.943,13.581,137.991,1.0,0.1717372870268149,0.0038612521934389,0.0,0.0077368777523328,0.0,,0.13467736145614898
0.1591,0.1186,-0.2168,16,56.49050612273,0.1657,24.051232484,0.1087,65221586651685248,7.1966,0.1916,18.217,0.198,-44.801,0.139,1.057,18.12122,0.003255,19.827961,0.163683,16.742001,0.009579,3.08596,,,1.65,626.456,6.634,118.478,1.0,0.1658791267895014,0.0048688069752996,0.0,0.0104790580283121,0.0,,0.13472151125998447
0.2054,0.3036,-0.0982,16,56.76765840946,0.0236,23.9950129144,0.0183,65212107660378880,7.437,0.0273,21.323,0.032,-45.437,0.024,0.898,8.332108,0.002784,8.471214,0.003029,8.059982,0.002921,0.411232,,,1.179,2726.501,920.301,1256.174,1.0,1.6450468338078594,0.0117148972517841,0.921154972989872,0.07223011772095,0.5599566857665903,0.0440883395546558,0.14128880696299412
-0.0571,0.0417,-0.1051,16,56.61376023966,0.0283,24.25480032904,0.0201,65231486552803328,7.384,0.0294,20.45,0.04,-44.647,0.027,1.09,7.352819,0.002782,7.391201,0.003157,7.256838,0.002823,0.134363,,,1.16,2830.826,735.065,2545.666,1.0,2.194860071603712,0.0208853586394898,1.0248971732175685,0.215157303227411,0.4669533089955525,0.0981284498646708,0.1476144237915503
-0.0089,-0.1699,-0.3702,13,56.75775853208,0.256,24.22432801621,0.1714,66728501697350016,7.4051,0.289,18.827,0.39,-43.797,0.243,1.041,18.567303,0.003829,20.497004,0.150227,17.17692,0.011554,3.320084,,,1.637,408.328,7.229,96.832,1.0,0.1246646136094441,0.0134297373942281,0.0,0.0100594212694143,0.0,,0.1513254913887513
-0.1764,-0.3083,-0.2479,12,56.72077961223,0.2957,24.25201618214,0.1838,66731731512764416,7.5109,0.3297,19.231,0.499,-44.243,0.266,0.934,18.72439,0.004042,20.661409,0.146048,17.28117,0.021645,3.380239,,,1.712,367.167,7.435,50.584,1.0,0.1132376003645521,0.0135985384206625,0.0,0.0,0.0,,0.15236728926141635
0.1791,0.0938,-0.298,14,56.52529124319,0.1663,23.97184934749,0.1141,65217326044027392,7.8421,0.1958,19.116,0.208,-45.664,0.148,0.949,18.299746,0.003461,19.507273,0.123463,16.907484,0.009629,2.599789,,,1.756,518.389,8.796,117.809,1.0,0.1632062957266765,0.0144361811209265,0.0,0.0180977302457216,0.0,,0.15716896743102776
0.0053,0.1699,-0.1873,14,56.80496181319,0.2181,24.01239279683,0.1572,65212206443054464,7.2572,0.2496,19.834,0.277,-44.444,0.187,1.031,18.324409,0.003769,19.941536,0.158426,16.912607,0.01501,3.028929,,,1.709,422.23,6.854,73.619,1.0,0.152881481477823,0.0113826942653547,0.0,0.0207411140202348,0.0,,0.15733694770028364
