pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,er_q,r/rh
0.3621,-0.1133,-0.0269,18,282.08451216013,0.0517,8.72979523312,0.0554,4287126682907874048,0.454,0.0645,0.027,0.066,-1.404,0.07,1.006,17.0317,0.00284,17.898407,0.007569,16.127249,0.004018,1.771158,,,1.295,1575.124,154.302,375.599,1.0,1.4247321575919143,0.004468240562985,0.1208893646913051,0.2539423360992671,0.084850590370356,0.1782388484504436,0.2412759620710061
0.3146,-0.1266,-0.0116,18,282.10653716645,0.0116,8.73617097173,0.0122,4287125961353359360,0.4559,0.0147,-0.036,0.015,-1.487,0.016,0.981,13.828302,0.002772,14.461772,0.003005,13.046564,0.002888,1.415208,,,1.269,3595.81,972.393,1456.479,1.0,2.415821377302394,0.0490362309769539,2.2304081972235816,0.2659518283546758,0.9232504597314838,0.1116712015516764,0.2519814996863722
0.3199,-0.1799,0.0223,18,282.1208557794,0.052,8.71750712232,0.0537,4287125686475428992,0.3897,0.0649,-0.174,0.065,-1.496,0.069,0.994,17.01119,0.002852,17.837553,0.007874,16.11924,0.004258,1.718313,,,1.296,1476.29,147.447,337.562,0.99,1.4333693002892849,0.0016160591251357,0.0,0.0439507195258995,0.0,,0.2533129167854083
0.3373,-0.0914,-0.0433,18,282.08175145261,0.0479,8.70262214778,0.0503,4287124346445646592,0.525,0.0579,-0.123,0.063,-1.476,0.065,1.009,16.899897,0.002839,17.735909,0.006683,16.000559,0.003682,1.73535,,,1.299,1587.884,178.799,452.012,1.0,1.468989488498622,0.0029776728769724,0.0,0.1444767421498156,0.0,,0.2585776266695591
0.2697,-0.1778,0.0368,18,282.07668116774,0.0117,8.72784919428,0.0121,4287125205439130624,0.4803,0.0149,-0.11,0.015,-1.535,0.016,1.032,13.731782,0.00277,14.848866,0.002977,12.694538,0.002822,2.154327,,,1.353,3860.36,1044.887,2565.974,1.0,2.5857048797621065,0.0090463087345688,1.7634437812742902,0.0647832370614741,0.6819973134120909,0.0251677404967982,0.2662424961112565
0.2566,-0.1829,0.0047,18,282.12378979244,0.0136,8.71315361522,0.0139,4287125686475423360,0.4517,0.0176,-0.027,0.016,-1.505,0.017,1.116,13.841922,0.002769,14.503898,0.00294,13.039408,0.002864,1.46449,,,1.276,3886.116,1172.725,1675.511,1.0,2.413206215208623,0.0441109428453172,2.240761132778937,0.2329070869605008,0.9285410913734208,0.0979945902713402,0.2666462864113407
0.3965,-0.1095,-0.056,18,282.07267749785,0.048,8.71434432435,0.0518,4287124415165136512,0.4823,0.0581,-0.234,0.061,-1.546,0.066,1.027,16.921736,0.002838,17.774572,0.006201,16.004379,0.003547,1.770193,,,1.31,1592.365,196.065,495.607,1.0,1.4439926193434351,0.0152950107603046,0.6217047401610021,0.3488404455013619,0.4305456494948591,0.2416235311863159,0.2782588499336651
0.4142,-0.1091,-0.0597,18,282.09881516258,0.0802,8.69031698863,0.0869,4287124135962310528,0.3479,0.097,-0.059,0.103,-1.445,0.112,1.041,17.830175,0.002961,18.828642,0.012808,16.863743,0.00556,1.964899,,,1.314,1001.401,86.859,225.747,0.99,1.1444710943230112,0.0383480381606745,0.8392250328922327,0.1848742572663514,0.7332863512718593,0.1633947922160865,0.28328840499857666
0.4067,-0.0851,-0.0872,18,282.06943135361,0.0736,8.71376162878,0.0794,4287125171079381504,0.4607,0.0888,-0.053,0.095,-1.619,0.102,1.094,17.48048,0.003002,18.409178,0.011976,16.50596,0.005157,1.903217,,,1.341,910.206,93.227,250.363,0.99,1.2285400641918494,0.0395260951614429,0.9258983074238276,0.1158395433527361,0.7536573974353017,0.0973582380099478,0.2958306248779629
0.3507,-0.1205,0.0377,17,282.12473220611,0.0165,8.70299177041,0.0174,4287125652115676160,0.4681,0.0202,-0.185,0.018,-1.711,0.019,1.063,14.242435,0.002772,14.901071,0.00317,13.444777,0.002849,1.456293,,,1.273,3560.264,721.399,1892.191,0.99,2.2920315735241026,0.036885332215129,2.1265690751608024,0.0681834943349562,0.9278096775478124,0.0332849074553616,0.3137422278649285
