pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.419,-0.1052,0.3551,16,89.49746858144,0.1751,21.94455311197,0.1463,3424055989748401536,0.5039,0.2014,1.297,0.227,-4.275,0.159,0.951,18.558092,0.003417,19.38361,0.04286,17.627125,0.013507,1.756485,,,1.331,537.059,25.386,82.157,0.92,0.8095496088813187,0.0036241454835075,0.0,0.1321343890363095,0.0,0.1632196317393078
-0.4058,-0.093,0.3638,16,89.49146986156,0.1311,21.95008126637,0.1072,3424056058467886720,0.5161,0.1504,1.035,0.165,-3.974,0.115,1.015,17.990997,0.003195,18.65971,0.034203,17.074553,0.009402,1.585157,,,1.371,671.236,31.85,120.925,0.92,0.9080129823292568,0.0028297169605267,0.0,0.0875850017216066,0.0,0.09645787386974516
-0.2368,-0.1959,0.2844,16,89.49928887669,0.0201,22.00105551929,0.0156,3424058502307247360,0.5832,0.0232,1.032,0.026,-4.088,0.017,1.024,14.371048,0.002774,14.708518,0.003105,13.85778,0.00288,0.850739,,,1.207,3419.686,797.122,1521.515,1.0,2.0338855424414115,0.001468262781922,0.0,0.0329221242668069,0.0,0.01618681266955083
-0.2218,-0.2818,0.2934,16,89.51620768167,0.0683,22.01426006246,0.0556,3424058532369161856,0.6273,0.0824,1.079,0.095,-4.1,0.059,0.986,16.975859,0.002896,17.668921,0.011935,16.175777,0.00509,1.493143,,,1.263,1215.98,93.565,255.028,0.99,1.0858146416579029,0.0077983271686132,0.5148248400365198,0.2147878642324139,0.47413694776711324,0.1978419509240905
-0.3566,-0.1104,0.3408,16,89.53211929068,0.0769,22.01974829702,0.0634,3424058635448388736,0.4894,0.0918,1.043,0.099,-4.181,0.068,1.026,17.18236,0.002945,17.887495,0.015924,16.373148,0.008288,1.514347,,,1.266,1044.636,69.254,139.13,0.99,1.0512599863676897,0.0048985128967963,0.2053751191226975,0.261178736929342,0.1953609209766549,0.24844519293895775
-0.3217,-0.1113,0.3358,16,89.53420700397,0.0653,22.02077278668,0.0536,3424058639745916160,0.5404,0.0782,0.997,0.084,-4.136,0.056,1.041,16.865719,0.002875,17.547092,0.011038,16.073477,0.005392,1.473616,,,1.26,1322.591,101.664,235.31,0.99,1.1100031900538836,0.0085371360064654,0.5345901900017078,0.2141632801313815,0.4816113996715243,0.19297489071561194
-0.3033,-0.1456,0.4854,15,89.56646057869,0.1161,22.01728532493,0.104,3424057845174400128,0.6473,0.1565,0.803,0.145,-4.048,0.108,1.008,17.899952,0.003195,18.632835,0.027046,17.074509,0.011349,1.558327,,,1.27,671.148,40.36,98.701,0.97,0.915208503455063,0.0021213911999669,0.0,0.0522369956239083,0.0,0.05707660650737513
-0.2795,-0.2225,0.3368,16,89.48572590691,0.0568,21.98003738271,0.0457,3424056990478507264,0.6016,0.0677,0.802,0.074,-4.064,0.048,1.056,16.516329,0.002885,17.141138,0.004582,15.69114,0.00666,1.449998,,,1.308,1269.176,298.694,179.533,0.97,1.166140632724704,0.0199003725270952,0.8023734590546198,0.0703342279694576,0.6880589154842011,0.061445993562855794
-0.2769,-0.2034,0.369,16,89.51640659945,0.1765,22.01739106499,0.146,3424058532369169792,0.5915,0.2156,1.001,0.234,-4.3,0.158,1.054,18.522373,0.003768,19.471552,0.04116,17.603661,0.014952,1.867891,,,1.284,422.377,26.439,73.912,0.94,0.798299063926178,0.0099086656637735,0.4346062860954732,0.1923291137764738,0.544415377312359,0.2410183837677635
-0.2546,-0.1842,0.3529,16,89.48785605617,0.0928,21.98972229028,0.0759,3424056986180888192,0.5788,0.1117,0.96,0.122,-4.207,0.081,0.995,17.542347,0.003009,18.320715,0.013399,16.68111,0.007458,1.639605,,,1.285,898.366,82.846,156.99,0.99,0.9565615925079768,0.0140095750133053,0.6270993068951131,0.0763612811962957,0.6555765063187854,0.08040425423902196
-0.2367,-0.1303,0.3622,16,89.59991604868,0.1749,21.94793405701,0.1399,3424045544387943296,0.2199,0.2114,1.013,0.236,-4.293,0.159,1.053,18.513477,0.003505,19.400837,0.053387,17.608143,0.016476,1.792694,,,1.289,501.003,20.365,66.865,0.83,0.8110666758577609,0.0061884515588157,0.1392653334897728,0.2126064497911905,0.17170639311803776,0.26213517520376883
